Canadian Interest Rates,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Daily series: 2015-06-01 - 2024-06-03,,,,,,,,,,,,,,
V39079 = Target for the overnight rate,,,,,,,,,,,,,,
V39078 = Bank rate,,,,,,,,,,,,,,
Canadian Overnight Repo Rate Average (CORRA) (%) = Canadian Overnight Repo Rate Average (CORRA) (%),,,,,,,,,,,,,,
V39068 = Bankers' acceptances - 1 Month,,,,,,,,,,,,,,
V39071 = Bankers' acceptances - 3 month,,,,,,,,,,,,,,
V39072 = Prime Corporate Paper Rate - 1 Month,,,,,,,,,,,,,,
V39074 = Prime Corporate Paper Rate - 3 Month,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Summary,Date,V39079,Date,V39078,Date,Canadian Overnight Repo Rate Average (CORRA) (%),Date,V39068,Date,V39071,Date,V39072,Date,V39074
Low,2022-03-02,0.25,2022-03-02,0.5,2021-12-13,0.05,2015-07-20,0.65,2016-01-19,0.65,2015-09-04,0.61,2015-09-04,0.61
High,2024-06-03,5,2024-06-03,5.25,2024-01-31,5.07,2018-12-31,2.25,2018-12-31,2.24,2018-12-28,2.24,2018-12-31,2.21
Average,2015-06-01 - 2024-06-03,1.58,2015-06-01 - 2024-06-03,1.81,2015-06-01 - 2024-06-03,1.5697,2015-06-01 - 2019-01-01,1.12,2015-06-01 - 2019-01-01,1.17,2015-06-01 - 2019-01-01,1.09,2015-06-01 - 2019-01-01,1.14
,,,,,,,,,,,,,,
Date,V39079,V39078,Canadian Overnight Repo Rate Average (CORRA) (%),V39068,V39071,V39072,V39074,,,,,,,
2016-01-26,0.5,0.75,0.53,0.81,0.81,0.8,0.8,,,,,,,
2016-01-27,0.5,0.75,0.5454,0.81,0.81,0.8,0.8,,,,,,,
2016-01-28,0.5,0.75,0.5491,0.81,0.81,0.8,0.8,,,,,,,
2016-01-29,0.5,0.75,0.5349,0.81,0.8,0.8,0.8,,,,,,,
2016-02-01,0.5,0.75,0.5154,0.8,0.8,0.8,0.8,,,,,,,
2016-02-02,0.5,0.75,0.519,0.8,0.8,0.8,0.8,,,,,,,
2016-02-03,0.5,0.75,0.514,0.8,0.79,0.8,0.8,,,,,,,
2016-02-04,0.5,0.75,0.5096,0.8,0.79,0.8,0.8,,,,,,,
2016-02-05,0.5,0.75,0.5093,0.79,0.79,0.8,0.8,,,,,,,
2016-02-08,0.5,0.75,0.5049,0.79,0.79,0.8,0.8,,,,,,,
2016-02-09,0.5,0.75,0.5069,0.79,0.79,0.8,0.8,,,,,,,
2016-02-10,0.5,0.75,0.4997,0.79,0.8,0.8,0.8,,,,,,,
2016-02-11,0.5,0.75,0.5135,0.8,0.8,0.8,0.8,,,,,,,
2016-02-12,0.5,0.75,0.5081,0.79,0.79,0.8,0.8,,,,,,,
2016-02-15,0.5,0.75, Bank holiday, Bank holiday, Bank holiday, Bank holiday, Bank holiday,,,,,,,
2016-02-16,0.5,0.75,0.5384,0.8,0.81,0.8,0.8,,,,,,,
2016-02-17,0.5,0.75,0.5093,0.81,0.81,0.8,0.8,,,,,,,
2016-02-18,0.5,0.75,0.5043,0.81,0.8,0.8,0.8,,,,,,,
2016-02-19,0.5,0.75,0.5024,0.8,0.8,0.78,0.78,,,,,,,
2016-02-22,0.5,0.75,0.5022,0.8,0.8,0.78,0.8,,,,,,,
2016-02-23,0.5,0.75,0.5092,0.8,0.8,0.78,0.8,,,,,,,
2016-02-24,0.5,0.75,0.5031,0.8,0.8,0.78,0.8,,,,,,,
2016-02-25,0.5,0.75,0.5255,0.8,0.8,0.78,0.8,,,,,,,
2016-02-26,0.5,0.75,0.512,0.81,0.81,0.78,0.8,,,,,,,
2016-02-29,0.5,0.75,0.4961,0.81,0.81,0.78,0.8,,,,,,,
2016-03-01,0.5,0.75,0.5069,0.81,0.81,0.78,0.8,,,,,,,
2016-03-02,0.5,0.75,0.5086,0.81,0.81,0.78,0.8,,,,,,,
2016-03-03,0.5,0.75,0.5085,0.8,0.81,0.78,0.8,,,,,,,
2016-03-04,0.5,0.75,0.5036,0.8,0.82,0.78,0.8,,,,,,,
2016-03-07,0.5,0.75,0.5065,0.8,0.82,0.78,0.8,,,,,,,
2016-03-08,0.5,0.75,0.5053,0.8,0.82,0.78,0.8,,,,,,,
2016-03-09,0.5,0.75,0.4975,0.81,0.82,0.78,0.8,,,,,,,
2016-03-10,0.5,0.75,0.5092,0.82,0.82,0.79,0.8,,,,,,,
2016-03-11,0.5,0.75,0.5086,0.81,0.82,0.79,0.8,,,,,,,
